Seed,Layer,Mean Preactivation,Pruning Ratio
42,conv1,0.18112018704414368,0.3125
42,layer1.0.conv1,-0.0341365709900856,0.3125
42,layer1.1.conv1,-0.08357393741607666,0.3125
42,layer2.0.conv1,-0.06734631955623627,0.3046875
42,layer2.1.conv1,-0.2102503776550293,0.3046875
42,layer3.0.conv1,-0.11478555202484131,0.30078125
42,layer3.1.conv1,-0.23746797442436218,0.30078125
42,layer4.0.conv1,-0.22572244703769684,0.30078125
42,layer4.1.conv1,-0.24174048006534576,0.30078125
66,conv1,0.18112018704414368,0.3125
66,layer1.0.conv1,-0.0341365709900856,0.3125
66,layer1.1.conv1,-0.08357393741607666,0.3125
66,layer2.0.conv1,-0.06734631955623627,0.3046875
66,layer2.1.conv1,-0.2102503776550293,0.3046875
66,layer3.0.conv1,-0.11478555202484131,0.30078125
66,layer3.1.conv1,-0.23746797442436218,0.30078125
66,layer4.0.conv1,-0.22572244703769684,0.30078125
66,layer4.1.conv1,-0.24174048006534576,0.30078125
762,conv1,0.18112018704414368,0.3125
762,layer1.0.conv1,-0.0341365709900856,0.3125
762,layer1.1.conv1,-0.08357393741607666,0.3125
762,layer2.0.conv1,-0.06734631955623627,0.3046875
762,layer2.1.conv1,-0.2102503776550293,0.3046875
762,layer3.0.conv1,-0.11478555202484131,0.30078125
762,layer3.1.conv1,-0.23746797442436218,0.30078125
762,layer4.0.conv1,-0.22572244703769684,0.30078125
762,layer4.1.conv1,-0.24174048006534576,0.30078125
